(8, 3)
(11, 3)
(49, 4)
(73, 1)
(167, 7)
(139, 10)
(144, 3)
(40, 6)
(81, 7)
(67, 1)
(167, 9)
(36, 8)
(8, 7)
(153, 10)
(200, 2)
(186, 0)
(152, 8)
(114, 2)
(144, 3)
(17, 5)
(21, 10)
(199, 0)
(174, 5)
(58, 9)
(64, 7)
(40, 10)
(138, 8)
(152, 6)
(138, 4)
(195, 1)
(182, 5)
(64, 1)
(71, 3)
(21, 9)
(8, 8)
(90, 2)
(188, 7)
(47, 7)
(77, 2)
(69, 8)
(153, 8)
(138, 2)
(135, 9)
(150, 2)
(96, 6)
(27, 6)
(88, 0)
(9, 6)
(83, 7)
(23, 3)
(148, 10)
(118, 9)
(25, 8)
(7, 8)
(162, 0)
(197, 6)
(193, 6)
(101, 8)
(123, 7)
(146, 4)
(108, 1)
(181, 2)
(145, 8)
(1, 2)
(183, 1)
(28, 1)
(97, 4)
(186, 5)
(62, 3)
(100, 3)
(1, 2)
(110, 3)
(18, 8)
(149, 8)
(162, 2)
(127, 5)
(76, 0)
(69, 9)
(30, 7)
(107, 2)
(183, 0)
(65, 8)
(186, 1)
(146, 5)
(97, 6)
(97, 5)
(13, 7)
(91, 2)
(57, 10)
(95, 1)
(7, 0)
(34, 8)
(18, 3)
(136, 0)
(139, 6)
(61, 1)
(6, 8)
(145, 2)
(108, 7)
(153, 5)
(68, 6)
(18, 2)
(3, 1)
(73, 4)
(139, 4)
(198, 7)
(87, 4)
(127, 1)
(180, 8)
(17, 5)
(194, 10)
(145, 4)
(82, 10)
(128, 1)
(35, 5)
(53, 0)
(173, 5)
(172, 9)
(166, 3)
(52, 6)
