(8, 2)
(46, 10)
(130, 6)
(161, 7)
(46, 6)
(80, 8)
(44, 8)
(90, 2)
(118, 3)
(33, 2)
(69, 3)
(60, 5)
(4, 5)
(94, 8)
(121, 10)
(52, 0)
(104, 8)
(115, 2)
(2, 3)
(7, 2)
(2, 2)
(129, 0)
(48, 8)
(40, 7)
(199, 5)
(16, 9)
(49, 3)
(136, 6)
(122, 0)
(37, 0)
(1, 8)
(92, 10)
(195, 8)
(29, 5)
(178, 6)
(187, 5)
(139, 10)
(40, 2)
(77, 4)
(13, 10)
(5, 0)
(134, 9)
(191, 10)
(180, 0)
(119, 0)
(165, 10)
(29, 5)
(190, 7)
(190, 6)
(192, 9)
(71, 9)
(32, 7)
(77, 3)
(41, 6)
(152, 9)
(76, 8)
(30, 8)
(95, 7)
(19, 7)
(180, 5)
(158, 4)
(72, 1)
(79, 10)
(156, 6)
(101, 2)
(40, 3)
(156, 3)
(51, 0)
(3, 1)
(111, 9)
(108, 4)
(138, 10)
(92, 7)
(183, 2)
(18, 4)
(123, 8)
(5, 7)
(131, 8)
(53, 7)
(194, 10)
(196, 7)
(97, 6)
(70, 6)
(7, 9)
(42, 9)
(200, 6)
(149, 9)
(58, 3)
(36, 0)
(58, 6)
(151, 1)
(53, 1)
(70, 5)
(155, 3)
(107, 9)
(53, 7)
(118, 1)
(127, 1)
(63, 1)
(129, 4)
(46, 7)
(95, 10)
(87, 2)
(113, 5)
(178, 8)
(69, 7)
(22, 9)
(127, 5)
