(178, 1)
(14, 5)
(173, 9)
(4, 1)
(173, 6)
(117, 8)
(102, 9)
(152, 7)
(11, 10)
(94, 4)
(105, 5)
(17, 6)
(198, 3)
(26, 7)
(188, 8)
(7, 5)
(84, 0)
(39, 5)
(192, 1)
(132, 0)
(170, 0)
(76, 8)
(162, 0)
(107, 7)
(184, 5)
(104, 7)
(182, 2)
(194, 7)
(41, 0)
(95, 0)
(100, 9)
(90, 6)
(137, 0)
(103, 7)
(101, 3)
(11, 8)
(199, 5)
(77, 5)
(101, 4)
(10, 9)
(58, 4)
(194, 8)
(176, 6)
(157, 6)
(78, 9)
(9, 6)
(38, 9)
(68, 5)
(150, 3)
(64, 3)
(192, 2)
(111, 5)
(80, 9)
(44, 1)
(138, 8)
(164, 0)
(46, 0)
(119, 9)
(9, 4)
(175, 8)
(65, 2)
(12, 5)
(197, 10)
(145, 5)
(102, 6)
(158, 1)
(173, 0)
(155, 6)
(123, 2)
(62, 9)
(159, 8)
(98, 10)
(191, 9)
(156, 8)
(95, 6)
(98, 1)
(167, 9)
(35, 1)
(44, 10)
(93, 7)
(69, 5)
(31, 3)
(168, 0)
(35, 0)
(89, 2)
(7, 1)
(126, 1)
(113, 4)
(34, 9)
(85, 6)
(180, 0)
(12, 7)
(67, 9)
(98, 4)
(128, 2)
(196, 4)
(56, 4)
(117, 6)
(45, 3)
(92, 6)
(16, 6)
(115, 0)
(101, 0)
(181, 2)
(98, 1)
(173, 6)
(189, 10)
(16, 0)
(58, 4)
(55, 8)
(182, 7)
(179, 5)
(107, 6)
(100, 1)
