(145, 9)
(102, 4)
(161, 6)
(162, 9)
(120, 6)
(71, 1)
(138, 9)
(171, 10)
(132, 4)
(97, 9)
(14, 7)
(138, 5)
(171, 3)
(121, 6)
(65, 2)
(98, 10)
(97, 1)
(134, 1)
(156, 8)
(14, 9)
(23, 5)
(146, 3)
(29, 5)
(69, 2)
(96, 1)
(102, 0)
(4, 6)
(29, 8)
(120, 1)
(47, 1)
(2, 9)
(153, 2)
(165, 9)
(37, 2)
(57, 1)
(68, 6)
(192, 5)
(32, 8)
(80, 4)
(36, 9)
(74, 6)
(107, 2)
(134, 4)
(154, 0)
(185, 8)
(171, 9)
(156, 3)
(63, 5)
(10, 2)
(39, 3)
(62, 3)
(62, 6)
(86, 6)
(38, 3)
(56, 9)
(70, 7)
(71, 7)
(54, 5)
(74, 0)
(71, 7)
(57, 7)
(25, 4)
(189, 1)
(121, 7)
(131, 4)
(119, 10)
(189, 3)
(154, 1)
(61, 3)
(32, 4)
(191, 4)
(70, 6)
(98, 1)
(25, 3)
(90, 8)
(62, 2)
(133, 5)
(100, 6)
(95, 7)
(44, 4)
(165, 3)
(178, 1)
(67, 5)
(67, 2)
(186, 5)
(114, 6)
(2, 9)
(57, 3)
(23, 3)
(200, 8)
(43, 6)
(5, 8)
(56, 0)
(185, 1)
(80, 1)
(155, 3)
(75, 9)
(99, 6)
(140, 3)
(181, 1)
(161, 1)
(79, 6)
(157, 7)
(97, 8)
(11, 10)
(160, 6)
(137, 9)
(15, 5)
(47, 1)
(59, 0)
(138, 1)
(82, 7)
(106, 1)
(119, 10)
(68, 9)
(180, 9)
(52, 2)
(148, 10)
(115, 3)
(163, 2)
(41, 3)
